"type","value","source"
"url","https://recaptcha-manual.shop/kangarooing.m4a","Mandiant"
"url","https://raw.githubusercontent.com/fuad686337/tyu/refs/heads/main/BEGIMOT.xll","Mandiant"
"url","https://note1.nz7bn.pro/nnp.mp4","Mandiant"
"url","https://niopg.pages.dev/","Mandiant"
"url","https://hur.bweqlkjr.shop/1a.m4a","Mandiant"
"url","https://human-verify-4r.pro/xfiles/verify.mp4","Mandiant"
"url","https://gdfg-23rwe.pages.dev/index.html","Mandiant"
"url","https://fresh-orange-juice.pages.dev/","Mandiant"
"url","https://microsoft-dns-reload-5q.pages.dev","Mandiant"
"url","https://macos-browser-update-9n.pages.dev/","Mandiant"
"url","https://macos-browser-update-5i.pages.dev/","Mandiant"
"url","https://hur.bweqlkjr.shop/m41.mp4","Mandiant"
"url","https://human-verify.shop/xfiles/verify.mp4","Mandiant"
"url","https://human-verify-7u.pages.dev/","Mandiant"
"url","https://hostme.pages.dev/host","Mandiant"
"url","https://ghost-name.pages.dev/website","Mandiant"
"url","https://discover-travel-agency.pro/walking.mp3","Mandiant"
"url","http://80.64.30.238/trip.psd","Mandiant"
"url","https://f003.backblazeb2.com/file/skippp/uu.html","Mandiant"
"url","https://f003.backblazeb2.com/file/skippp/index.html","Mandiant"
"url","https://f003.backblazeb2.com/file/skippp/glass.mp3","Mandiant"
"url","https://ert67-o9.pages.dev/data","Mandiant"
"url","https://domain.com/BEGIMOT.xll","Mandiant"
"url","https://discover-travel-agency.pro/joke.m4a","Mandiant"
"url","https://dns-verify-me.pro/xfiles/train.mp4","Mandiant"
"domain","1a-a1.pages.dev","Mandiant"
"url","https://discover-travel-agency.pro/1.m4a","Mandiant"
"url","https://disable-data-collect-ai.pages.dev/","Mandiant"
"url","https://disable-data-ai-agent.pages.dev","Mandiant"
"url","https://cleaning-devices-k.pages.dev/","Mandiant"
"url","https://ai.fdswgw.shop/one.mp4","Mandiant"
"url","https://blog.sekoia.io/clearfakes-new-widespread-variant-increased-web3-exploitation-for-malware-delivery/","Mandiant"
"url","https://b1-c1-k8.pages.dev/","Mandiant"
"url","https://ads.green-pickle-jo.shop/1.m4a","Mandiant"
"url","https://1a-a1.pages.dev/","Mandiant"
"url","http://83.217.208.130/xfiles/trip.psd","Mandiant"
"url","http://83.217.208.130/xfiles/VIDA.mp4","Mandiant"
"url","http://83.217.208.130/xfiles/VIDA.mp3","Mandiant"
"url","http://83.217.208.130/xfiles/trip.mp4","Mandiant"
"url","http://83.217.208.130/xfiles/Ohio.mp4","Mandiant"
"url","http://80.64.30.238/evix.xll","Mandiant"
"domain","hostme.pages.dev","Mandiant"
"domain","b1-c1-k8.pages.dev","Mandiant"
"domain","ghost-name.pages.dev","Mandiant"
"domain","gdfg-23rwe.pages.dev","Mandiant"
"domain","fresh-orange-juice.pages.dev","Mandiant"
"domain","ert67-o9.pages.dev","Mandiant"
"domain","disable-data-collect-ai.pages.dev","Mandiant"
"domain","ai.fdswgw.shop","Mandiant"
"domain","disable-data-ai-agent.pages.dev","Mandiant"
"domain","cleaning-devices-k.pages.dev","Mandiant"
"url","tcp://floor-steam.gl.at.ply.gg:3455","Mandiant"
"domain","industrial-vegetation.gl.at.ply.gg","Mandiant"
"domain","hartplus.autos","Mandiant"
"url","tcp://industrial-vegetation.gl.at.ply.gg:59863","Mandiant"
"url","tcp://floor-steam.gl.at.ply.gg:58684","Mandiant"
"domain","say-mechanical.gl.at.ply.gg","Mandiant"
"domain","floor-steam.gl.at.ply.gg","Mandiant"
"url","tcp://say-mechanical.gl.at.ply.gg:41947","Mandiant"
"url","http://hartplus.autos/my18/","Mandiant"
"url","tcp://hartplus.autos:80","Mandiant"
